1525541650,22,13,44
1525541651,19,75,75
1525541652,16,96,29
1525541653,13,42,39
1525541654,24,99,3
1525541655,3,23,85
1525541656,25,71,90
1525541657,4,34,95
1525541658,27,11,80
1525541659,11,89,22
1525541660,0,9,45
1525541661,6,21,47
1525541662,23,15,14
1525541663,4,27,16
1525541664,15,27,47
1525541665,30,36,4
1525541666,1,71,35
1525541667,20,64,9
1525541668,17,46,31
1525541669,11,70,53
1525541670,7,56,24
1525541671,26,7,67
1525541672,1,25,12
1525541673,27,32,6
1525541674,20,62,17
1525541675,15,14,37
1525541676,13,74,39
1525541677,22,96,41
1525541678,28,59,86
1525541679,5,13,58
1525541680,30,49,24
1525541681,23,27,45
1525541682,23,6,54
1525541683,6,89,42
1525541684,7,3,30
1525541685,6,3,35
1525541686,7,78,33
1525541687,26,50,27
1525541688,3,98,26
1525541689,14,43,18
1525541690,6,5,59
1525541691,4,57,94
1525541692,29,80,29
1525541693,29,69,73
1525541694,5,54,62
1525541695,18,12,61
1525541696,20,25,7
1525541697,26,32,68
1525541698,5,71,71
1525541699,23,55,14
1525541700,26,66,60
1525541701,14,1,46
1525541702,25,75,67
1525541703,27,7,43
1525541704,22,22,91
1525541705,13,2,81
1525541706,27,73,3
1525541707,23,21,81
1525541708,24,50,24
1525541709,3,94,11
1525541710,23,38,12
1525541711,8,12,51
1525541712,5,41,97
1525541713,10,63,24
1525541714,8,81,65
1525541715,28,56,16
1525541716,20,83,36
1525541717,12,64,97
1525541718,21,21,15
1525541719,24,10,11
1525541720,29,91,97
1525541721,2,55,93
1525541722,21,74,14
1525541723,5,68,17
1525541724,1,44,27
1525541725,0,78,14
1525541726,2,22,65
1525541727,3,4,13
1525541728,20,93,28
1525541729,0,12,49
1525541730,17,13,93
1525541731,24,17,21
1525541732,29,38,29
1525541733,4,44,62
1525541734,5,5,72
1525541735,5,45,73
1525541736,0,55,20
1525541737,24,68,74
1525541738,2,26,44
1525541739,3,82,94
1525541740,20,17,57
1525541741,0,91,5
1525541742,7,79,92
1525541743,25,23,73
1525541744,16,43,39
1525541745,0,60,37
1525541746,8,59,96
1525541747,2,90,35
1525541748,29,8,16
1525541749,29,8,4
